pipelineCode,Library_Preps,Platform,Data_Category,Lab,Tool,Alias
ONT_1,CapTrap,ONT,LO,Bambu,Bambu,Ba
PB_1,CapTrap,PacBio,LO,Bambu,Bambu,Ba
ONT_2,cDNA,ONT,LO,Bambu,Bambu,Ba
PB_2,cDNA,PacBio,LO,Bambu,Bambu,Ba
ONT_3,dRNA,ONT,LO,Bambu,Bambu,Ba
ONT_4,R2C2,ONT,LO,Bambu,Bambu,Ba
ONT_5,cDNA,ONT,LO,Birol,RNA-Bloom,Bl
ONT_6,cDNA,ONT,LS,Birol,RNA-Bloom,Bl
PB_3,CapTrap,PacBio,LO,SPBU,StringTie2-IsoQuant,IQ
illumina_1,cDNA,Illumina,SO,SPBU,rnaSPAdes,rS
ONT_7,cDNA,ONT,LO,SPBU,IsoQuant,IQ
ONT_8,cDNA,ONT,LS,SPBU,rnaSPAdes,rS
PB_4,cDNA,PacBio,LO,SPBU,StringTie2-IsoQuant,IQ
PB_5,cDNA,PacBio,LS,SPBU,rnaSPAdes,rS
ONT_9,dRNA,ONT,LO,SPBU,StringTie2-IsoQuant,IQ
ONT_10,dRNA,ONT,LS,SPBU,rnaSPAdes,rS
ONT_11,R2C2,ONT,LO,SPBU,StringTie2-IsoQuant,IQ
