pipelineCode,Library_Preps,Platform,Data_Category,Lab,Tool,Alias
pipeline1,CapTrap,ONT,LO,Bambu,Bambu,Ba
pipeline2,CapTrap,PacBio,LO,Bambu,Bambu,Ba
pipeline3,cDNA,ONT,LO,Bambu,Bambu,Ba
pipeline4,cDNA,PacBio,LO,Bambu,Bambu,Ba
pipeline5,dRNA,ONT,LO,Bambu,Bambu,Ba
pipeline6,R2C2,ONT,LO,Bambu,Bambu,Ba
pipeline7,cDNA,ONT,LO,Brooks,FLAIR,FL
pipeline8,cDNA,ONT,LS,Brooks,FLAIR,FL
pipeline9,cDNA,PacBio,LO,Brooks,FLAIR,FL
pipeline10,cDNA,PacBio,LS,Brooks,FLAIR,FL
pipeline11,dRNA,ONT,LO,Brooks,FLAIR,FL
pipeline12,dRNA,ONT,LS,Brooks,FLAIR,FL
pipeline13,CapTrap,ONT,LO,CRG,Lyric*,Ly*
pipeline14,CapTrap,PacBio,LO,CRG,Lyric*,Ly*
pipeline15,cDNA,ONT,LO,CRG,Lyric*,Ly*
pipeline16,cDNA,PacBio,LO,CRG,Lyric*,Ly*
pipeline17,dRNA,ONT,LO,CRG,Lyric*,Ly*
pipeline18,R2C2,ONT,LO,CRG,Lyric*,Ly*
pipeline19,cDNA,PacBio,LO,MaxPlanck,IsoTools,IT
pipeline20,cDNA,PacBio,LO,Vollmers,Mandalorion,Ma
pipeline21,Freestyle,Freestyle,LO,Vollmers,Mandalorion,Ma
pipeline22,R2C2,ONT,LO,Vollmers,Mandalorion,Ma
pipeline23,cDNA,PacBio,LO,IB,Iso_IB,IB
pipeline24,CapTrap,ONT,LO,Ritchie,FLAMES,FM
pipeline25,CapTrap,PacBio,LO,Ritchie,FLAMES,FM
pipeline26,cDNA,ONT,LO,Ritchie,FLAMES,FM
pipeline27,dRNA,ONT,LO,Ritchie,FLAMES,FM
pipeline28,CapTrap,ONT,LO,SPBU,IsoQuant,IQ
pipeline29,CapTrap,PacBio,LO,SPBU,IsoQuant,IQ
pipeline30,cDNA,ONT,LO,SPBU,IsoQuant,IQ
pipeline31,cDNA,PacBio,LO,SPBU,IsoQuant,IQ
pipeline32,dRNA,ONT,LO,SPBU,IsoQuant,IQ
pipeline33,R2C2,ONT,LO,SPBU,IsoQuant,IQ
pipeline34,cDNA,PacBio,LO,Kawaji,Spectra,Sp
pipeline35,CapTrap,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline36,CapTrap,ONT,LS,Mortazavi,TALON_LAPA,TL
pipeline37,CapTrap,PacBio,LO,Mortazavi,TALON_LAPA,TL
pipeline38,CapTrap,PacBio,LS,Mortazavi,TALON_LAPA,TL
pipeline39,cDNA,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline40,cDNA,ONT,LS,Mortazavi,TALON_LAPA,TL
pipeline41,cDNA,PacBio,LO,Mortazavi,TALON_LAPA,TL
pipeline42,cDNA,PacBio,LS,Mortazavi,TALON_LAPA,TL
pipeline43,dRNA,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline44,dRNA,ONT,LS,Mortazavi,TALON_LAPA,TL
pipeline45,R2C2,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline46,R2C2,ONT,LS,Mortazavi,TALON_LAPA,TL
pipeline47,dRNA,ONT,LS,JHU_Pertea,StringTie2,ST
