pipelineCode,Library_Preps,Platform,Data_Category,Lab,Tool,Alias
pipeline1,cDNA,ONT,LO,Bambu,Bambu,Ba
pipeline2,cDNA,PacBio,LO,Bambu,Bambu,Ba
pipeline3,cDNA,ONT,LO,Brooks,FLAIR,FR
pipeline4,cDNA,ONT,LS,Brooks,FLAIR,FR
pipeline5,cDNA,PacBio,LO,Brooks,FLAIR,FR
pipeline6,cDNA,PacBio,LS,Brooks,FLAIR,FR
pipeline7,cDNA,ONT,LO,CRG,Lyric,Ly
pipeline8,cDNA,PacBio,LO,CRG,Lyric,Ly
pipeline9,cDNA,PacBio,LO,MaxPlanck,IsoTools,IT
pipeline10,cDNA,ONT,LS,JHU_Pertea,StringTie2,ST
pipeline11,cDNA,PacBio,LO,Vollmers,Mandalorion,Ma
pipeline12,cDNA,PacBio,LO,Iso_IB,Iso_IB,IB
pipeline13,cDNA,ONT,LO,Ritchie,FLAMES,FM
pipeline14,cDNA,ONT,LO,SPBU,IsoQuant,IQ
pipeline15,cDNA,PacBio,LO,SPBU,IsoQuant,IQ
pipeline16,cDNA,PacBio,LO,Kawaji,Spectra,Sp
pipeline17,cDNA,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline18,cDNA,ONT,LS,Mortazavi,TALON_LAPA,TL
pipeline19,cDNA,PacBio,LO,Mortazavi,TALON_LAPA,TL
pipeline20,cDNA,PacBio,LS,Mortazavi,TALON_LAPA,TL
