pipelineCode,Library_Preps,Platform,Data_Category,Lab,Tool,Alias
pipeline1,cDNA,PacBio,LO,Bambu,Bambu,Ba
pipeline2,dRNA,ONT,LO,Bambu,Bambu,Ba
pipeline3,cDNA,PacBio,LO,Brooks,FLAIR,FR
pipeline4,cDNA,PacBio,LS,Brooks,FLAIR,FR
pipeline5,dRNA,ONT,LO,Brooks,FLAIR,FR
pipeline6,dRNA,ONT,LS,Brooks,FLAIR,FR
pipeline7,cDNA,PacBio,LO,CRG,Lyric,Ly
pipeline8,dRNA,ONT,LO,CRG,Lyric,Ly
pipeline9,cDNA,PacBio,LO,MaxPlanck,IsoTools,IT
pipeline10,dRNA,ONT,LS,JHU_Pertea,StringTie2,ST
pipeline11,cDNA,PacBio,LO,Vollmers,Mandalorion,Ma
pipeline12,cDNA,PacBio,LO,Iso_IB,Iso_IB,IB
pipeline13,dRNA,ONT,LO,Ritchie,FLAMES,FM
pipeline14,cDNA,PacBio,LO,SPBU,IsoQuant,IQ
pipeline15,dRNA,ONT,LO,SPBU,IsoQuant,IQ
pipeline16,cDNA,PacBio,LO,Kawaji,Spectra,Sp
pipeline17,cDNA,PacBio,LO,Mortazavi,TALON_LAPA,TL
pipeline18,cDNA,PacBio,LS,Mortazavi,TALON_LAPA,TL
pipeline19,dRNA,ONT,LO,Mortazavi,TALON_LAPA,TL
pipeline20,dRNA,ONT,LS,Mortazavi,TALON_LAPA,TL
