Library	isoform	LRGASP_id
CapTrap-ONT	ENST00000704389	NNC_chr16_-_57257030_57258461_57258585_57260129
CapTrap-ONT	ENST00000704392	FSM_chr16_-_57257030_57258461_57258585_57261896_57262071_57284405
CapTrap-ONT	ENST00000704403	NNC_chr16_-_57257030_57258461_57258585_57261899_57262071_57284405
CapTrap-ONT	ENST00000704407	FSM_chr11_-_118229921_118233459_118233524_118235423_118235590_118237049_118237261_118240210_118240378_118252221
CapTrap-ONT	ENST00000704408	FSM_chr11_-_118229921_118233459_118233524_118235423_118235590_118240210_118240378_118252221
CapTrap-ONT	ENST00000704410	NNC_chr11_-_118248321_118252221
CapTrap-ONT	ENST00000704413	NNC_chr11_-_118250133_118252221
CapTrap-ONT	ENST00000704504	FSM_chr18_-_43270649_43271711_43271833_43273579_43274395_43277247
CapTrap-ONT	ENST00000704526	ISM_chr18_-_43274395_43277247
CapTrap-ONT	ENST00000704556	NIC_chr5_-_138253058_138253765_138253901_138254056_138254161_138257638_138257952_138259556_138259650_138264260_138264549_138274333
CapTrap-ONT	ENST00000704562	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138259556_138259650_138264260_138264549_138274333
CapTrap-ONT	ENST00000704614	FSM_chr1_+_27392738_27393793
CapTrap-ONT	ENST00000704661	FSM_chr8_-_71842748_71843644
CapTrap-ONT	ENST00000704664	NNC_chr8_-_71842748_71844163
CapTrap-ONT	ENST00000704736	FSM_chr6_-_70861750_70861829_70861979_70894127_70894273_70955838
CapTrap-ONT	ENST00000704766	FSM_chr10_-_91630867_91632955
CapTrap-ONT	ENST00000704815	FSM_chr8_-_29337412_29338281_29338502_29340097_29340244_29349845
CapTrap-ONT	ENST00000704846	FSM_chr2_-_182834966_182837947_182838012_182838408_182838614_182842477_182842544_182858785_182858834_182866074
CapTrap-ONT	ENST00000704851	NIC_chr2_-_182834966_182837947_182838012_182838408_182838614_182858785_182858834_182866074
CapTrap-ONT	ENST00000704875	FSM_chr1_+_203305749_203307103_203307689_203309137
CapTrap-ONT	ENST00000704878	FSM_chr1_+_203305749_203307103
CapTrap-ONT	ENST00000704935	NNC_chr16_+_2010103_2010307
CapTrap-ONT	ENST00000704936	NNC_chr16_+_2010103_2020189_2020313_2020532
CapTrap-ONT	ENST00000704937	FSM_chr16_+_2020313_2020532
CapTrap-ONT	ENST00000704938	NNC_chr16_+_2010103_2010221
CapTrap-ONT	ENST00000704939	Genic.Genomic_chr16_+_2009900_2010600
CapTrap-ONT	ENST00000704990	FSM_chr22_+_37659357_37665554
CapTrap-ONT	ENST00000705009	FSM_chr9_-_136362181_136362988_136363129_136363486
CapTrap-ONT	ENST00000705019	ISM_chr9_-_136362181_136362988
CapTrap-ONT	ENST00000705035	NNC_chr18_-_75137786_75208849
CapTrap-ONT	ENST00000705036	NNC_chr18_-_75137786_75138235_75138336_75208849
CapTrap-ONT	ENST00000705040	FSM_chr18_-_75202341_75208849
CapTrap-ONT	ENST00000705053	FSM_chr18_-_75202341_75205192
CapTrap-ONT	ENST00000705054	NNC_chr18_-_75202341_75204207
CapTrap-ONT	ENST00000705055	NNC_chr18_-_75202341_75204953
CapTrap-ONT	ENST00000705087	FSM_chr3_-_43081537_43105835
CapTrap-ONT	ENST00000705104	FSM_chr14_-_63686657_63698568_63698659_63727260
